human_id,ST,host_source_raw,collection_year,country,country_base_label,country_harmonised,country_iso_alpha2,country_iso_alpha3,country_iso_numeric,country_harmonisation_status
SAMD00498158,ST219,Homo sapiens,2020,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498161,ST219,Homo sapiens,2020,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498162,ST37,Homo sapiens,2020,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498164,ST280,Homo sapiens,2020,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498167,ST211,Homo sapiens,2019,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498168,ST6,Homo sapiens,2019,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498169,ST211,Homo sapiens,2019,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498172,ST219,Homo sapiens,2019,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498176,ST219,Homo sapiens,2019,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498179,ST37,Homo sapiens,2019,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498186,ST896,Homo sapiens,2019,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498200,ST2004,Homo sapiens,2019,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498202,ST2715,Homo sapiens,2019,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498203,ST37,Homo sapiens,2019,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498204,ST12,Homo sapiens,2019,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498214,ST16,Homo sapiens,2020,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498228,ST200,Homo sapiens,2019,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498237,ST881,Homo sapiens,2019,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498238,ST5120,Homo sapiens,2019,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498239,ST20,Homo sapiens,2020,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498241,ST86,Homo sapiens,2019,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498246,ST280,Homo sapiens,2019,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498248,ST7176,Homo sapiens,2019,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498251,ST530,Homo sapiens,2020,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498252,ST45,Homo sapiens,2020,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498268,ST268,Homo sapiens,2019,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498269,ST1530,Homo sapiens,2019,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498277,ST37,Homo sapiens,2020,Japan:Chiba,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498301,ST966,Homo sapiens,2019,Japan:Chiba,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498303,ST4341,Homo sapiens,2019,Japan:Chiba,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498307,ST307,Homo sapiens,2019,Japan:Chiba,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498309,ST873,Homo sapiens,2019,Japan:Chiba,Japan,Japan,JP,JPN,392,iso_3166_1
